"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake","deleted"
nynyma_rec0040_4_10869_0031_w4.jpg,"1939-1941",Queens,10869,31.00,"10048","10048",true,"203 Street","10048 203 Street",,,false,true
nynyma_rec0040_4_10864_0003_w4.jpg,"1939-1941",Queens,10864,3.00,"19706","19706",true,"100 Avenue","19706 100 Avenue",,,false,true
nynyma_rec0040_4_10901_0046_w4.jpg,"1939-1941",Queens,10901,46.00,"10915","10915",false,"201 Street","10915 201 Street",,,false,true
nynyma_rec0040_4_10903_0004_w4.jpg,"1939-1941",Queens,10903,4.00,"20308","20308",true,"104 Avenue","20308 104 Avenue",,,false,true
nynyma_rec0040_4_10867_0058a_w4.jpg,"1939-1941",Queens,10867,58.00,"10019","17",false,"200 Street","10019-17 200 Street",,,false,true
nynyma_rec0040_4_10871_0033_w4.jpg,"1939-1941",Queens,10871,33.00,"20419","20419",false,"104 Avenue","20419 104 Avenue",,,false,true
nynyma_rec0040_4_10879_0068_w4.jpg,"1939-1941",Queens,10879,68.00,"9953","9953",false,"211 Street","9953 211 Street",,,false,true
nynyma_rec0040_4_10877_0117_w4.jpg,"1939-1941",Queens,10877,117.00,"10023","10023",false,Bellaire Place,"10023 Bellaire Place",,,false,true
nynyma_rec0040_4_10873_0052_w4.jpg,"1939-1941",Queens,10873,52.00,"10025","10025",false,"205 Place","10025 205 Place",,,false,true
nynyma_rec0040_4_10890_0011_w4.jpg,"1939-1941",Queens,10890,11.00,GARAGE,GARAGE,true,"195 Street",GARAGE 195 Street,,,false,true
nynyma_rec0040_4_10891_0013_w4.jpg,"1939-1941",Queens,10891,13.00,"10416","10416",true,"196 Street","10416 196 Street",,,false,true
nynyma_rec0040_4_10888_0014_w4.jpg,"1939-1941",Queens,10888,14.00,"19409","19409",false,"109 Avenue","19409 109 Avenue",,,false,true
nynyma_rec0040_4_10891_0021_w4.jpg,"1939-1941",Queens,10891,21.00,"10425","10425",false,"195 Street","10425 195 Street",,,false,true
nynyma_rec0040_4_10907_0016_w4.jpg,"1939-1941",Queens,10907,16.00,"10920","10920",true,"205 Street","10920 205 Street",,,false,true
nynyma_rec0040_4_10902_0038_w4.jpg,"1939-1941",Queens,10902,38.00,"10437","10437",false,"202 Street","10437 202 Street",,,false,true
nynyma_rec0040_4_10902_0051_w4.jpg,"1939-1941",Queens,10902,51.00,"10415","10415",false,"202 Street","10415 202 Street",,,false,true
nynyma_rec0040_4_10901_0002_w4.jpg,"1939-1941",Queens,10901,2.00,"20106","20106",true,"109 Avenue","20106 109 Avenue",,,false,true
nynyma_rec0040_4_10903_0018_w4.jpg,"1939-1941",Queens,10903,18.00,"10424","10424",true,"204 Street","10424 204 Street",,,false,true
nynyma_rec0040_4_10908_0001_w4.jpg,"1939-1941",Queens,10908,1.00,"20502","20502",true,"104 Avenue","20502 104 Avenue",,,false,true
nynyma_rec0040_4_10908_0044_w4.jpg,"1939-1941",Queens,10908,44.00,"10427","10427",false,"205 Street","10427 205 Street",,,false,true
nynyma_rec0040_4_10909_0014_w4.jpg,"1939-1941",Queens,10909,14.00,"10416","10416",true,Francis Lewis Boulevard,"10416 Francis Lewis Boulevard",,,false,true
nynyma_rec0040_4_10908_0047_w4.jpg,"1939-1941",Queens,10908,47.00,"10421","10421",false,"205 Street","10421 205 Street",,,false,true
nynyma_rec0040_4_10911_0015_w4.jpg,"1939-1941",Queens,10911,15.00,"10920","10920",true,"205 Place","10920 205 Place",,,false,true
nynyma_rec0040_4_11536_0057a_w4.jpg,"1939-1941",Queens,11536,57.00,"9719","9719",false,"135 Drive","9719 135 Drive",,,false,true
nynyma_rec0040_4_11562_0035_w4.jpg,"1939-1941",Queens,11562,35.00,,,,,,,,false,true
nynyma_rec0040_4_11564_0001_w4.jpg,"1939-1941",Queens,11564,1.00,,,,,,,,false,true
nynyma_rec0040_4_11741_0054_w4.jpg,"1939-1941",Queens,11741,54.00,"13338","13338",true,"121 Street","13338 121 Street",,,false,true
nynyma_rec0040_4_11742_0028_w4.jpg,"1939-1941",Queens,11742,28.00,"13317","13317",false,"121 Street","13317 121 Street",,,false,true
nynyma_rec0040_4_11741_0036_w4.jpg,"1939-1941",Queens,11741,36.00,"12010","12010",true,"133 Avenue","12010 133 Avenue",,,false,true
