"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake"
nynyma_rec0040_3_07516_2415�,"1939-1941",Brooklyn,7516,2415.00,"80","80",true,Hoff Street,"80 Hoff Street",,,false
nynyma_rec0040_3_07516_2416�,"1939-1941",Brooklyn,7516,2416.00,"82","82",true,Hoff Street,"82 Hoff Street",,,false
nynyma_rec0040_3_07516_2417�,"1939-1941",Brooklyn,7516,2417.00,"84","84",true,Hoff Street,"84 Hoff Street",,,false
nynyma_rec0040_3_07516_2418�,"1939-1941",Brooklyn,7516,2418.00,"86","86",true,Hoff Street,"86 Hoff Street",,,false
nynyma_rec0040_3_07516_2419�,"1939-1941",Brooklyn,7516,2419.00,"88","88",true,Hoff Street,"88 Hoff Street",,,false
nynyma_rec0040_3_07516_2420�,"1939-1941",Brooklyn,7516,2420.00,"90","90",true,Hoff Street,"90 Hoff Street",,,false
nynyma_rec0040_3_07516_2421�,"1939-1941",Brooklyn,7516,2421.00,"92","92",true,Hoff Street,"92 Hoff Street",,,false
nynyma_rec0040_3_07516_2422�,"1939-1941",Brooklyn,7516,2422.00,"94","94",true,Hoff Street,"94 Hoff Street",,,false
nynyma_rec0040_3_07516_2423�,"1939-1941",Brooklyn,7516,2423.00,"96","96",true,Hoff Street,"96 Hoff Street",,,false
nynyma_rec0040_3_07516_2424�,"1939-1941",Brooklyn,7516,2424.00,"98","98",true,Hoff Street,"98 Hoff Street",,,false
nynyma_rec0040_3_07516_2425�,"1939-1941",Brooklyn,7516,2425.00,"100","100",true,Hoff Street,"100 Hoff Street",,,false
nynyma_rec0040_3_07516_2460�,"1939-1941",Brooklyn,7516,2460.00,,,,Brighton Beach Avenue,Brighton Beach Avenue,,,false
nynyma_rec0040_3_07516_2465�,"1939-1941",Brooklyn,7516,2465.00,"1045","1045",false,Brighton Beach Avenue,"1045 Brighton Beach Avenue",,,false
nynyma_rec0040_3_07516_2470�,"1939-1941",Brooklyn,7516,2470.00,,,,,,,,false
nynyma_rec0040_3_07516_2490�,"1939-1941",Brooklyn,7516,2490.00,"3000","3000",true,Humbert Street,"3000 Humbert Street",,,false
nynyma_rec0040_3_07516_2651�,"1939-1941",Brooklyn,7516,2651.00,,,,Humbert Street,Humbert Street,,,false
nynyma_rec0040_3_07516_2733�,"1939-1941",Brooklyn,7516,2733.00,"3004","3004",true,Nathan Street,"3004 Nathan Street",,,false
